Latitude (decimal degrees):	40.000
Longitude (decimal degrees):	-3.000
Radiation database:	PVGIS-SARAH2
Optimal slope angle (deg.):	35

year		month		H(i_opt)_m		T2m
2020		Jan		121.6		5.5
2020		Feb		150.16		9.0
2020		Mar		157.43		9.6
2020		Apr		168.17		12.0
2020		May		205.22		18.1
2020		Jun		209.57		21.6
2020		Jul		221.96		27.2
2020		Aug		224.58		25.1
2020		Sep		191.85		20.0
2020		Oct		170.42		12.8
2020		Nov		127.96		10.0
2020		Dec		128.65		5.4

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)
T2m: 24 hour average of temperature (degree Celsius)

PVGIS (c) European Union, 2001-2022